text,label,label_id
: . poll flawed - didn't offer option of enforcement - not just amnesty or deportation #iowadebate,not_hate,0
you will not succeed in your goal of a white ethno-state ! #heatherheyer will not die i,not_hate,0
" a white supremacist when they are conservative can a person of color  i . e . maxine waters  still be a person of  "" white privilege "" "" ? ohb was """,not_hate,0
then why do you use the word white ? youre the racist . pure idiocy . get a vocabulary .,not_hate,0
retweeted elder lansing ( ): forget this white nationalist mess . i'm america first . so is our great ...,not_hate,0
hate crimes a pre-planned conspiracy to demean hindus  says ( pic : pti ),not_hate,0
"  "" trump is right : america needs a merit-based immigration policy "" "" via """,not_hate,0
most white people also hate nazis but wow here you are,not_hate,0
" rt rt :  "" : zuckerberg's dream : the anti-white racist social network via "" "" """,not_hate,0
i want to join the anp im sick of all the fucking niggers and jews and mongs icant turn on the tv without a fucking nigger being onit,explicit_hate,2
conservatives failed white people ! we could add a new chapter : another fifty years of failure !,not_hate,0
today  held two major flash mob demonstrations with richard and mike.unannounced  no antifa  no police betrayals .,not_hate,0
it was a tragic #war - #hitler #germany #jews #history,not_hate,0
isn't he a white man ?,not_hate,0
the demokkkrats are still the party of the klan . look at their racist remarks and all white candidates for the presidency,implicit_hate,1
all american poor communities black white asian hispanic mexican . i just don't see controversy,implicit_hate,1
"nothing acceptable about it! if i ever catch someone sexually abusing a child, i'll have no problem siting in jail for putting a hot round in the back of their skull!",implicit_hate,1
afp podcast & article : the day of the white man via,not_hate,0
the far left antifa is anti-semitic . they hate israel . shouldn't you be glad trump called them out ?,not_hate,0
it is not just the alt-right . most of the left and mainstream right is also sick and tired of endless wars :,not_hate,0
" rt  "" there is one core issue in the immigration debate : the well-being of the american people . nothing even comes a close second . "" "" """,not_hate,0
: i just heard white christmas playing and realized the liberals and #blm must hate it since it contains their,not_hate,0
yeah  i know . you and achmed can even get married now  cuck .,explicit_hate,2
#auspol uk : racist black man punches pregnant white girl in stomach as onlookers watch in horror via,implicit_hate,1
even the daca immigrants of white skin and european blood ? or are they collateral damage to your white supremest nationalism ?,not_hate,0
"lol,,, welcome to world, this is what she lobbies for, and this is how it begins good job! good job ann you f'n tranny",explicit_hate,2
alex jones cries six million tears as he is unable to contain anger towards jews  blacks and muslims on his websites,not_hate,0
"cut their federal funding, food stamps, and all other subsidies if they don't want to abide in the laws",implicit_hate,1
think about it . the coservative christian party that's all about #familyvalues has a candidate with no values #nevertrump,not_hate,0
